State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
Rajasthan,Bundi,47.01,133.1,2831.55,146.75,605.43,4125.67,0.1,0.06,585.86,0,0,0,0.1,0.06,585.86,0.92,1.57,1706.07,22.94,79.26,3454.63,0,0,0,1.89,6.28,3323.81,50.6,64.82,1281,0.01,0,714.29,149.72,96.57,645.01,0.39,0.76,1953.49,1.01,0.29,289.81,20.63,28.41,1377.11,0,0,0,0,0,1000,0.03,0.04,1357.14,0,0,0,23.94,34.01,1420.56,0,0,0,0.76,6.01,7853.07,0.27,0.03,99.03,0.52,2.42,2.94,0.05,0.04,6.57
Rajasthan,Chittorgarh,1.35,3.12,2314.17,174.88,698.66,3995.12,13.33,14.43,1082.78,0,0,0,13.33,14.43,1082.78,0.03,0.03,870.01,120.76,352.3,2917.48,0,0,0,10.14,33.49,3303.69,22.85,32.34,1415.56,0.1,0.14,1449.18,17.75,12.12,682.55,18.83,31.88,1692.84,2.17,0.82,378.03,38.6,58.43,1513.69,0,0,0,0,0,0,0.84,0.94,1117.95,0,0,0,159.37,147.72,926.94,0,0,0,1.77,12.86,7247.61,12.31,1.45,117.52,0.16,5.59,5.76,0.02,3.88,23.12
Rajasthan,Churu,0,0,0,33.49,73.28,2188.27,0,0,600,0,0,0,0,0,600,266.15,106.07,398.56,0,0,2000,0,0,0,7.73,17.79,2301.89,107.09,41.02,383.01,0,0,0,514.3,151.27,294.13,63.45,144.69,2280.29,7.57,1.21,159.91,72.9,75.82,1039.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0.07,60.51,0.05,0.58,0.63,0,0.46,259.33
Rajasthan,Dungarpur,17.17,19.73,1149.47,47.73,110.6,2317.19,0.23,0.13,583.33,0,0,0,0.23,0.13,583.33,0.04,0.03,885.71,61.45,70.31,1144.17,0,0,0,0.88,2.92,3324.23,11.7,14.62,1248.91,1.32,1.02,772.38,12.12,9.34,770.98,0.04,0.08,1952.38,1.06,0.28,268.94,0.43,0.69,1613.58,0,0,0,0.16,0.16,1000,0,0,0,0,0,0,32.76,30.05,917.42,0,0,0,0.01,0.05,5811.11,0.59,0.06,99.05,0,0.13,0.14,0,0.02,4.03
Rajasthan,Ganganagar,42.18,127.29,3017.4,506.64,2138.57,4221.05,0.36,0.21,584.02,0,0,0,0.36,0.21,584.02,46.02,32.08,697.15,0.07,0.14,2013.89,0,0,0,71.73,278.46,3882.09,196.46,165.41,841.97,0.13,0.19,1523.81,120.76,60.5,501.02,26.87,54.3,2021.14,1.93,0.61,316.39,302.85,519.16,1714.23,0,0,0,1.91,4.87,2554.51,0.06,0.09,1387.1,0,0,0,0,0,0,0,0,0,2.11,14.43,6837.9,315.65,32.61,103.3,11.28,3.94,15.22,0.63,0.13,827.01
Rajasthan,Jaipur,0,0,0,231.45,902.77,3900.51,37.15,16,430.66,0,0,0,37.15,16,430.66,449.22,653.29,1454.28,1.99,2.6,1306.65,0,0,0,57.27,203.02,3544.87,36.12,39.6,1096.37,0.09,0.06,630.43,141.88,72,507.5,41.26,68.99,1671.89,11.72,4.3,366.6,116.24,213.4,1835.77,0,0,0,0,0,1000,0.01,0,833.33,0,0,0,0,0,1000,0,0,0,0.04,0.26,7035.14,0.2,0.02,98.68,2.15,26.95,29.1,0.02,3.95,86.22
Rajasthan,Jaisalmer,0,0,0,8.98,16.12,1794.06,2.75,0.5,180.86,0,0,0,2.75,0.5,180.86,105.07,13.74,130.79,0,0,0,0,0,0,0,0.01,3333.33,159.08,125.62,789.65,0,0,250,59.97,13.78,229.81,25.67,42.2,1644.38,6.03,0.89,148.16,41.69,40.8,978.72,0,0,0,4.72,9.43,1995.98,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.02,98.74,0.33,0.05,0.39,0,0.01,598.97
Rajasthan,Jalore,0,0,0,46.94,100.7,2145.45,4.63,1.14,245.2,0,0,0,4.63,1.14,245.2,314.12,92.5,294.47,0.03,0.07,2029.41,0,0,0,0.21,0.71,3322.43,27.23,31.5,1156.53,0,0,0,147.69,39.88,270.03,20.61,29.02,1408.01,11.11,2.27,204.28,83.19,105.46,1267.62,0,0,0,49.26,89.48,1816.48,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.06,99.06,1.51,1.59,3.1,0.12,0.28,60.85
Rajasthan,Jhalawar,4.45,12.82,2884.81,102.2,413.26,4043.52,0.63,0.37,582.28,0,0,0,0.63,0.37,582.28,0.01,0.01,909.09,45.99,140.92,3064.08,0,0,0,0.2,0.68,3321.95,57.91,88.81,1533.64,0.14,0.12,800,65.03,54.73,841.69,1.48,2.89,1953.41,0.62,0.17,269.23,39.76,10.23,257.32,0,0,0,0,0,0,0.92,0.37,400,0,0,0,209.4,282.41,1348.7,0,0,0,0.01,0.07,7040,0,0,90,12.42,3.69,16.1,0.07,2.45,2.29
Rajasthan,Jhunjhunu,0,0,0,85.96,340.01,3955.61,0,0,0,0,0,0,0,0,0,219.33,229.12,1044.64,0,0,0,0,0,0,8.87,28.96,3263.72,58.08,79.1,1361.84,0,0,0,78.15,24.6,314.72,4.27,7.46,1747.54,0.33,0.09,269.46,58.64,102.45,1746.96,0,0,0,0.02,0.01,611.11,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,8.69,0.64,73.84,0.12,4.34,4.46,0,3.66,73.77
