State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
Punjab,Amritsar,362,1436,3966.85,375,1791,4776,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2500,0,0,0,0,0,0,0,0,0,0.5,0.5,1000,6.1,4.3,704.92,0,0,0,1.2,0.4,333.33,2.3,3.5,1521.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,59.6,8514.29,0,0,0,1.1,4.64,5.74,0,0,50.44
Punjab,Kapurthala,118,513,4347.46,108,523,4842.59,0,0,0,0,0,0,0,0,0,0,0,0,2,11,5500,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,1000,0,0,0,0.1,0,0,0.5,1,2000,0,0,0,0,0,0,0,0,0,0.1,0.2,2000,0,0,0,0,0,0,4,33.5,8375,0,0,0,3.92,14.45,18.37,0,0,13.36
Punjab,Jalandhar,207.6,887.02,4272.74,216.97,1095.85,5050.7,0,0,0,0,0,0,0,0,0,0,0,0,10.88,48.13,4423.71,0,0,0,0,0,0,0,0,0,0.3,0.3,1000,0.72,0.72,1000,0,0,0,0.2,0,0,1.84,2.52,1374.52,0,0,0,0,0,0,0,0,0,0.26,0.42,1616.86,0,0,0,0,0,0,14.66,125.26,8544.54,0,0,0,0.74,21.95,22.69,0,0,36.99
Punjab,Hoshiarpur,98.4,401.98,4085.16,173.03,770.15,4450.96,0,0,0,0,0,0,0,0,0,0,0,0,59.12,209.87,3549.9,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,1000,1.2,2.3,1916.67,0,0,0,4.46,5.57,1249.16,0,0,0,0,0,0,0,0,0,0.04,0.08,2000,0,0,0,0,0,0,25.34,201.84,7965.15,0,0,0,1.07,5.54,6.61,0,0,35.85
Punjab,Roopnagar / Ropar,55.5,224,4036.04,92,450,4891.3,0,0,0,0,0,0,0,0,0,0,0,0,25,103.5,4140,0,0,0,0.15,0.6,4000,0.05,0.05,1000,0.1,0.1,1000,1.35,0.9,666.67,0,0,0,0.2,0,0,2.45,3.05,1244.9,0,0,0,0,0,0,0,0,0,0.3,0.55,1833.33,0,0,0,0,0,0,3.5,26.8,7657.14,0,0,0,0.22,2.8,3.02,0,0,12.83
Punjab,Ludhiana,270.9,1283.25,4736.99,264.75,1364.1,5152.41,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4000,0,0,0,1.44,6.22,4304.5,0,0,0,0.6,0.6,1000,2.59,2.16,833.98,0,0,0,0,0,0,1.49,2.38,1597.32,0,0,0,0,0,0,0,0,0,1.56,3.13,2006.41,0,0,0,0,0,0,3.45,31.05,9000,0,0,0,0.01,14.69,14.7,0,0,20.64
Punjab,Ferozpur,641.06,2726.58,4253.24,768.48,3933.9,5119.07,0,0,0,0,0,0,0,0,0,0.2,0.1,500,1,4,4000,0,0,0,1.82,6.4,3521.45,1.17,1.27,1085.18,0.6,0.7,1167.79,4.13,3.71,897.87,0,0,0,0.47,0.27,578.06,6.98,11.53,1650.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.7,7350,112.12,86.45,771.05,26.85,22.36,49.21,0,0,87.61
Punjab,Bhatinda,388.94,1783.42,4585.33,556.52,2920.1,5247.07,0,0,0,0,0,0,0,0,0,0.6,0.4,666.67,0,0,0,0,0,0,1.58,5.5,3475.35,0.23,0.33,1442.48,0.1,0.1,1000,2.77,2.39,863.44,0,0,0,0.03,0.03,1000,3.92,7.07,1805.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.88,137.29,812.94,3.93,11.53,15.46,0,0,56.01
Punjab,Sangrur,403.88,2038.6,5047.54,408.8,2244.32,5490.02,0,0,0,0,0,0,0,0,0,0.2,0.1,500,0,0,0,0,0,0,1.92,7.66,3983.37,0.1,0.2,2000,0.3,0.3,1000,3.35,3.83,1144.56,0,0,0,0,0,0,2.15,2.8,1301.68,0,0,0,0,0,0,0,0,0,0.19,0.34,1750,0,0,0,0,0,0,5.24,47.4,9045.8,9,6.48,720,0.42,6.98,7.4,0,0,45.79
Punjab,Patiala,314.72,1359.15,4318.6,322.45,1696.58,5261.53,0,0,0,0,0,0,0,0,0,0,0,0,4,16.5,4125,0,0,0,0.78,3.52,4501.92,0.05,0.05,1000,0.1,0.1,1000,2.51,1.51,600.32,0,0,0,0,0,0,1.61,2.47,1534.74,0,0,0,0,0,0,0,0,0,3.65,6.88,1887.06,0,0,0,0,0,0,4.81,43.55,9054.05,1,0.72,720,1.13,15.96,17.09,0,0,34.07
Haryana,Hissar,305.38,1077.83,3529.46,829.58,4131.43,4980.16,0,0,0,0,0,0,1.42,0.71,500,110.51,144.55,1308.03,0.17,0,0,0,0,0,10.39,35.36,3402.62,21.5,25.1,1167.22,0,0,0,14.2,24.69,1739.42,3.2,3.6,1125,0.34,0.17,500,252.79,503.33,1991.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.03,520.3,2024.28,0,0,0,482.57,202.1,418.8,0,0,0,0,0,0
Haryana,Gurgaon,64.2,174,2710.28,243.7,1105,4534.26,0,0,0,0,0,0,17.6,9,511.36,64.6,137,2120.74,0,0,0,0,0,0,2.3,10,4347.83,0.4,1,2500,0,0,0,1.3,17.1,13153.85,0,0,0,0.8,0.4,500,41.1,91.1,2216.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.9,91.6,2186.16,0,0,0,23.7,10.08,425.32,0,0,0,0,0,0
Haryana,Jind,165.65,491.38,2966.34,247.65,1241.38,5012.68,0,0,0,0,0,0,0,0,0,14.35,25.08,1747.74,0,0,0,0,0,0,0.3,0,0,0.1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,5.06,10.54,2082.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,10.54,2041.84,0,0,0,63.9,31.85,498.51,0,0,0,0,0,0
Haryana,Mahendragarh / Narnaul,10.59,25.52,2410.96,139.03,617.32,4440.22,0,0,0,0,0,0,1.13,0.29,257.09,186.69,293.16,1570.31,0.03,0,0,0,0,0,2.7,9.99,3694.53,9.1,8.9,978.45,0,0,0,1.91,16.5,8663.52,0.09,0.09,1000,0.23,0.12,500,188.61,378.14,2004.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.92,378.34,2002.61,0,0,0,65.72,30.82,468.97,0,0,0,0,0,0
Haryana,Ambala,170.6,681,3991.79,194.2,898,4624.1,0,0,0,0,0,0,0,0,0,1.1,2,1818.18,5.2,15,2884.62,0,0,0,0.1,0,0,0.1,0.5,5000,0,0,0,0.7,8.5,12142.86,0,0,0,0,0,0,5.3,7.2,1358.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,11,1527.78,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,Karnal,508.45,1927.62,3791.18,515.45,2536.62,4921.16,0,0,0,0,0,0,0,0,0,2.45,4.92,2008.16,0.2,0,0,0,0,0,0,0,0,0.2,0.1,500,0,0,0,0.9,17,18888.89,0,0,0,0,0,0,4.74,10.56,2228.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,16.26,2048.37,0,0,0,5.9,3.25,550,0,0,0,0,0,0
Haryana,Rohtak,197.13,502.65,2549.79,360.89,1733.25,4802.67,0,0,0,0,0,0,27.35,14,511.85,69.6,114.29,1642.07,0.8,4,5000,0,0,0,4.4,13.65,3099.46,0.6,0.8,1333.33,0,0,0,1.5,11,7336.67,0.01,0.01,1000,0.13,0.01,103.17,51.31,106.63,2078.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.45,106.66,2073.2,0,0,0,26.71,14.58,545.71,0,0,0,0,0,0
Uttar Pradesh,Saharanpur,70.55,185.44,2628.49,156.61,588.92,3760.46,0,0,0,0,0,0,0,0,0,0,0,0,8.17,13.38,1637.14,0,0,0,0.05,0.13,2680.85,0.02,0.01,937.5,0,0,0,5.19,4.51,868.09,4.4,5.01,1136.69,0.33,0.08,253.82,2.35,2.74,1168.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.7,1535.08,7217.17,0,0,0,4.98,4.3,9.28,0.66,0.21,18.78
Uttar Pradesh,Muzaffarnagar,32.93,93.32,2833.89,135.26,569.23,4208.48,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.2,1647.54,0,0,0,0.19,0.53,2844.92,0.14,0.15,1050.72,0.06,0.04,728.81,2.28,1.73,761.53,0,0,1000,0.02,0.01,291.67,5.43,7.93,1460.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.18,2113.77,8837.61,0.05,0,66.67,0,0,0,1.83,0.06,0
Uttar Pradesh,Meerut,52.41,145.29,2772.12,219.37,932.17,4249.36,0,0,1000,0,0,0,0,0,1000,8.4,10.26,1221.52,1.76,4.08,2321.18,0,0,0,2.01,7.96,3960.25,0.01,0.01,1000,5.51,9.15,1661.03,4.56,4.19,917.47,0,0,0,0,0,0,11.33,14.74,1300.72,0,0,0,0,0,0,0.02,0.01,600,0,0,0,0,0,0,0,0,0,257.45,2326.51,9036.79,0.02,0,67.5,0,0,0,9.09,0.32,0
Uttar Pradesh,Buland Shahar,102.1,304.58,2983.12,215.96,968.16,4482.97,0.01,0.01,925.6,0,0,0,0.01,0.01,925.6,15.58,29.91,1919.28,44.28,110.47,2494.89,0,0,0,6.3,24.93,3959.96,0.02,0.02,1042.66,6.6,5.85,886.01,6.32,5.92,937.24,0,0,1000,0.01,0,250,11.06,18.32,1657.39,0,0,0,0,0,0,0.05,0.03,604.17,0,0,0,0,0,0,0,0,0,62.79,527.83,8406.44,0.13,0.01,66.61,0,0,0,9.27,0.2,0
Uttar Pradesh,Aligarh,107.56,278.09,2585.37,306.2,1273.52,4159.11,0.01,0.01,1000,0,0,0,0.01,0.01,1000,135.34,319.47,2360.47,21.94,56.84,2590.54,0,0,0,7.87,26.63,3386.4,0.06,0.07,1046.88,10.43,7.95,761.84,8.78,7.32,834.32,0.03,0.03,1000,0.1,0.03,288.66,34.85,56.42,1618.73,0,0,0,0,0,0,0.01,0,625,0.05,0.07,1440,0,0,0,0,0,0,7.87,58.54,7437.54,1.98,0.17,88,0,0,0,69.67,0.12,0
Uttar Pradesh,Mathura,46.13,83.54,1811,200.42,704.48,3515,0.02,0.02,1000,0,0,0,0.02,0.02,1000,37.59,64.58,1717.99,0.15,0.42,2856.16,0,0,0,3.87,12.5,3233.89,0.03,0.05,1896.55,1.28,0.95,746.09,2.17,1.06,488.69,0,0,0,0.34,0.04,112.09,45.27,88.77,1961.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,2.96,5668.45,1.62,0.07,44.86,0,0,0,11.85,0.01,0
Uttar Pradesh,Agra,12.91,34.08,2638.98,169.78,664.45,3913.58,0.11,0.11,1009.44,0,0,0,0.11,0.11,1009.44,150.99,358.57,2374.8,2.64,7.38,2800.44,0,0,0,8.01,27.34,3411.87,1.13,2.15,1900.56,1.39,1.72,1237.5,1.86,1.81,974.18,0.14,0.16,1117.92,2.32,0.26,113.03,58.11,121.2,2085.78,0,0,0,0,0,0,0,0,0,0.1,0.15,1442.24,0,0,0,0,0,0,0.29,1.67,5668.29,0.33,0.01,44.73,0,0,0,74.4,0.15,0
Uttar Pradesh,Mainpuri,76.61,226.59,2957.82,214.11,881.11,4115.28,0.53,0.53,1005.69,0,0,0,0.53,0.53,1005.69,73.53,176.74,2403.72,45.71,140.49,3073.28,0,0,0,7.37,27.01,3663.31,0.86,1.64,1900.19,1.44,1.78,1237.91,8.26,9.06,1096.72,0.52,0.59,1118.36,1.74,0.2,113.03,15.34,28.29,1844.74,0,0,0,0,0,0,0,0,0,0.21,0.31,1440.8,0,0,0,0,0,0,0.51,2.92,5668.39,0.01,0,36,0,0,0,46.18,1.14,0
Uttar Pradesh,Etah,28.79,71.3,2476.44,229.73,904.14,3935.72,0.05,0.05,1000,0,0,0,0.05,0.05,1000,88.82,209.92,2363.4,56.52,145.04,2566.42,0,0,0,10.59,35.84,3383.11,0.26,0.27,1046.88,4.16,3.16,759.25,9.9,7.73,781.04,0.75,0.76,1013.3,0.79,0.23,295.31,24.07,48.93,2033.2,0,0,0,0,0,0,0,0,0,0.01,0.01,1428.57,0,0,0,0,0,0,7.2,53.36,7414.21,0,0,90,0,0,0,10.1,0.81,0
Uttar Pradesh,Bareilly,145.23,357.42,2460.99,195.12,716.28,3671,0.09,0.09,1011.63,0,0,0,0.09,0.09,1011.63,7.21,11.59,1607.94,0.26,0.58,2243.24,0,0,0,0.05,0.13,2851.06,0.02,0.02,1052.63,0.04,0.03,916.67,12.04,14.76,1225.76,0.9,1.33,1477.25,2.53,0.25,98.18,15.51,27.6,1779.93,0,0,0,0,0,0,0.01,0.01,636.36,0.02,0.03,1470.59,0,0,0,0,0,0,96.96,776.6,8009.2,0,0,0,0,0,0,2.24,0.16,0
Uttar Pradesh,Budaun,88.35,188.48,2133.41,276.29,1013.67,3668.8,0.06,0.06,1006.87,0,0,0,0.06,0.06,1006.87,121.14,182.84,1509.32,10.44,23.45,2245.27,0,0,0,0.6,1.72,2845.61,0.03,0.04,1060.61,0.31,0.25,798.13,49.53,34.16,689.76,0.53,0.78,1474.13,2.49,0.4,161.09,40.53,65.36,1612.43,0,0,0,0,0,0,0.02,0.01,597.86,0.04,0.05,1447.37,0,0,0,0,0,0,44.53,331.78,7450.44,0,0,0,0,0,0,16.51,0.4,0
Uttar Pradesh,Moradabad,140.63,327.24,2326.88,300.44,1101.13,3665.08,0.1,0.1,1006.35,0,0,0,0.1,0.1,1006.35,50.76,69.72,1373.43,5.64,12.08,2143.43,0,0,0,0.38,1.08,2844.99,0,0,1250,0.81,0.6,739.27,14.18,11.67,823.04,0,0,1000,0.54,0.16,295.54,12.41,17.55,1414.21,0,0,0,0,0,0,0.01,0.01,655.77,0,0,0,0,0,0,0,0,0,142.64,1171.08,8209.79,0,0,0,0,0,0,10.13,0.31,0
Uttar Pradesh,Shahjahanpur,210.76,686.88,3259,247.7,989.81,3996,1.11,1.12,1006.32,0,0,0,1.11,1.12,1006.32,3.38,5.26,1556.02,2.3,4.91,2131.13,0,0,0,0.26,0.73,2844.96,0.19,0.2,1047.62,0.31,0.28,909.39,33.83,30.53,902.23,3.87,5.71,1477.11,8.85,0.77,87.04,14.44,17.73,1228.03,0,0,0,0,0,0,0.01,0,625,0,0,0,0.02,0.01,777.78,0,0,0,45.74,371.08,8113.2,0,0,0,0,0,0,8.76,0.27,0
Uttar Pradesh,Pilibhit,140.74,461.08,3276,131.99,559.23,4237,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.41,2211.96,0,0,0,0,0.01,3000,0.1,0.11,1048.54,0,0,1000,2.78,4.13,1486.5,1,1.47,1476.95,0.63,0.06,97.64,10.82,8.96,828.05,0,0,0,0,0,0,0,0,500,0,0,0,0.3,0.23,775.92,0,0,0,79.28,643.38,8115.6,0,0,0,0,0,0,0.46,0.04,0
Uttar Pradesh,Rampur,138.67,328.51,2369,149.25,598.2,4008,0.59,0.59,1008.52,0,0,0,0.59,0.59,1008.52,2.69,2.68,995.91,0.28,0.75,2728.26,0,0,0,0.01,0.03,2888.89,0.02,0.02,1210.53,0,0,0,8.01,6.88,858.94,0,0,1000,0.04,0.01,289.47,3.77,3.82,1015.41,0,0,0,0,0,0,0,0,0,0.01,0.02,1285.71,0.04,0.03,777.78,0,0,0,21.85,163.94,7503.2,0,0,0,0,0,0,1.78,0.03,0
Uttar Pradesh,Bijnor,50.88,127.77,2511.02,157.27,569.33,3620,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.1,3000,0,0,0,0,0.01,3000,0.01,0.02,1230.77,0,0,750,2.57,1.88,732.94,0.91,0.93,1013.13,0.01,0,307.69,4.07,3.07,754.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.63,1681.51,8339.6,0,0,0,0,0,0,0.65,0,0
Uttar Pradesh,Farrukhabad,34.62,108.09,3122.12,150.66,680.33,4515.55,2.87,4.39,1531.38,0,0,0,2.87,4.39,1531.38,5.08,8.24,1623.92,85.47,268.38,3140.12,0,0,0,2.28,6.76,2961.02,1.5,2.51,1679.6,2.52,3.28,1301.43,10.36,8.98,866.85,2.43,2.46,1013.17,4.04,0.82,202.48,17.15,33.38,1946.07,0,0,0,0,0,0,0,0,0,0.9,1.29,1441.47,0,0,0,0,0,0,8.36,54.63,6535.63,0,0,0,0,0,0,85.26,2.35,0
Uttar Pradesh,Etawah,101.35,295.3,2913.67,198.17,756.58,3817.91,0.84,1.29,1530.88,0,0,0,0.84,1.29,1530.88,69.65,156.47,2246.63,14.62,43.2,2954.05,0,0,0,3.53,12.14,3434.63,7.1,11.95,1683.48,5.32,9.61,1807.79,11.74,10.24,872.5,0.15,0.15,1013.7,1.73,0.36,206.94,29.97,52.79,1761.3,0,0,0,0,0,0,0.01,0,666.67,0.01,0.02,1500,0,0,0,0,0,0,1.09,7.06,6469.69,0,0,0,0,0,0,23.87,0.1,0
Uttar Pradesh,Kanpur,73.99,221.22,2990,226.79,925.74,4081.94,23.44,48.88,2085.72,0,0,0,23.44,48.88,2085.72,18.46,34.01,1842.16,34.24,110.49,3226.65,0,0,0,10.1,28.23,2795.23,38.39,67.44,1756.69,12.86,29.03,2257.53,22.63,21.7,958.85,0.13,0.13,1015.27,3.91,0.83,211.75,36.78,54.79,1489.59,0,0,0,0,0,0,0.49,0.3,600.81,0.02,0.03,1454.55,0.05,0.04,775.51,0,0,0,4.11,26.01,6335.17,0,0,0,0,0,0,15.08,1.05,0
Uttar Pradesh,Fatehpur,82.06,216.65,2640,170.17,591.43,3475.53,8.49,10.88,1281.66,0,0,0,8.49,10.88,1281.66,7.39,8.83,1193.51,0.31,0.67,2200,0,0,0,3.58,10.43,2916.97,42.14,67.92,1611.75,17.47,20.49,1172.92,15.83,12.3,777.15,0.21,0.22,1014.15,9.36,2.91,311.01,15.17,18.69,1232.17,0,0,0,0,0,0,0.18,0.16,862.64,0,0,1500,0,0,0,0,0,0,6.38,23.42,3672.79,0,0,0,0,0,0,8.77,1.52,0
Uttar Pradesh,Allahabad,215.88,575.93,2667.89,283.11,1021.87,3609.38,10.58,8.05,760.46,0,0,0,10.58,8.05,760.46,29.64,27.08,913.92,0.56,1.36,2431.13,0,0,0,4.48,11.87,2649.41,17.56,24.31,1384.22,23.34,42.26,1810.61,21.83,16.29,746.54,0.02,0.02,1000,1.93,0.36,188.89,2.81,3.45,1226.72,0,0,0,0,0,0,0.32,0.28,865.63,0,0,0,0,0,0,0,0,0,2.86,10.5,3672.83,0,0,0,0,0,0,17.51,0.84,0
Uttar Pradesh,Jhansi,10.21,16.22,1589.75,302.3,818.4,2707.25,2.23,2,899.78,0,0,0,2.23,2,899.78,0,0.01,1750,20.74,18.43,888.9,0,0,0,12.45,26.59,2136.17,42.86,47.17,1100.63,0.82,0.54,660.15,378.21,275.61,728.74,31.23,27.07,866.7,83.32,21.7,260.5,17.67,12.78,723.1,0,0,0,0,0,0,0.66,0.4,601.21,0,0,1333.33,13.45,10.45,777.5,0,0,0,0.18,0.7,3943.82,0,0,0,0,0,0,1.06,0.28,0
Uttar Pradesh,Jalaun,0.27,0.34,1264.93,160.36,581.17,3624.09,6.86,12.92,1882.96,0,0,0,6.86,12.92,1882.96,15.03,24.31,1617.18,0.02,0.06,2521.74,0,0,0,7.55,18.18,2406.75,13.72,19.37,1412.4,3.39,5.84,1720.52,114.67,177.27,1545.86,0.01,0.01,909.09,30.37,13.97,460.01,15.57,18.04,1158.98,0,0,0,0,0,0,0.09,0.05,606.74,0,0,0,0.04,0.03,772.73,0,0,0,1.04,4.11,3943.9,0,0,0,0,0,0,0.45,0.44,0
Uttar Pradesh,Hamirpur,0.08,0.15,1948.05,161.51,440.68,2728.57,18.04,15.72,870.93,0,0,0,18.04,15.72,870.93,0.65,0.68,1041.47,0.43,1.26,2953.05,0,0,0,6.9,17.4,2520.86,119.83,105.35,879.15,18.27,18.09,990.42,170.04,90.44,531.87,5.99,5.25,877.59,53.33,12.28,230.23,23.24,19.53,840.31,0,0,0,0,0,0,9.29,5.26,566.46,0,0,0,0.24,0.18,776.37,0,0,0,8.73,33.47,3833.2,0,0,0,0,0,0,0.2,0.16,0
Uttar Pradesh,Banda,60.72,118.86,1957.57,208.72,495.11,2372.11,40.52,51.62,1273.96,0,0,0,40.52,51.62,1273.96,13.44,14.81,1102.39,0.02,0.04,2222.22,0,0,0,5.75,18.57,3227.71,142.53,137.02,961.36,33.86,48.84,1442.39,61.7,38.62,625.89,0.41,0.66,1611.65,12.31,4.75,385.46,5.26,3.4,646.95,0,0,0,0,0,0,3.31,2.55,772,0,0,0,0.09,0.07,779.07,0,0,0,0.65,2.5,3833.18,0,0,0,0,0,0,0.38,0.39,0
Uttar Pradesh,Varanasi,194.46,573.42,2948.8,230.27,797.84,3464.76,4.69,5.21,1111.04,0,0,0,4.69,5.21,1111.04,18.95,22.31,1176.89,3.4,5.86,1721.42,0,0,0,0.96,1.86,1929.53,3.59,4.92,1372.56,11.08,14.09,1271.8,19.37,17.2,888.13,0,0,1000,0.56,0.14,253.57,1.22,1.35,1102.94,0,0,0,0,0,0,0.45,0.39,860.31,0,0,0,0,0,0,0,0,0,4.36,30.43,6975.41,0,0,0,0,0,0,5.11,0.54,0
Uttar Pradesh,Mirzpur,123.58,321.45,2601.1,148.82,406.61,2732.25,5.11,6.84,1337.77,0,0,0,5.11,6.84,1337.77,9.88,11.65,1178.95,15.28,15.43,1009.75,0,0,0,11.22,13.01,1159.69,25.1,35.13,1399.79,22.59,23.01,1018.77,25.29,23.06,911.84,2.66,5.61,2107.89,6.22,1.05,167.93,5.16,3.47,671.96,0,0,0,0,0,0,8.39,4.5,536.07,0,0,0,0,0,0,0,0,0,1.77,14.02,7924.48,0,0,0,0,0,0,3.07,1.17,0
Uttar Pradesh,Jaunpur,157.28,362.68,2306,207.67,735.15,3540,2.96,4.19,1413.29,0,0,0,2.96,4.19,1413.29,4.94,5.8,1174.19,43.35,67.23,1550.96,0,0,0,0.56,1.25,2220.25,5.05,7.48,1481,7.3,5.09,697.25,12.09,13.15,1088.19,0,0,0,0.56,0.17,294.33,3.16,3.65,1155.96,0,0,0,0,0,0,0.23,0.2,857.76,0,0.01,1400,0,0,0,0,0,0,9.52,62.68,6587.2,0,0,0,0,0,0,19.47,0.99,0
Uttar Pradesh,Ghazipur,154.82,384.25,2482,166.21,494.15,2973,2.69,5.16,1912.8,0,0,0,2.69,5.16,1912.8,14.76,15.48,1048.57,0.81,1.03,1267.24,0,0,0,6.93,15.38,2220.51,4.26,7.39,1732.82,5.39,6.84,1268.51,16.78,19.02,1133.51,0.05,0.06,1018.18,0.05,0.01,304.35,0.45,0.52,1155.21,0,0,0,0,0,0,0.01,0.01,818.18,0.03,0.04,1444.44,0,0,0,0,0,0,7.31,45.25,6191.6,0,0,0,0,0,0,10.95,0.65,0
Uttar Pradesh,Ballia,115.87,290.02,2503,136.89,495.07,3616.48,1.76,2.35,1340.55,0,0,0,1.76,2.35,1340.55,1.98,3.83,1930.84,31.76,60.94,1918.55,0,0,0,2.46,6.36,2582.45,3.34,5.6,1677.45,6.7,7.85,1172.44,22.39,29.27,1307.74,0.24,0.24,1012.66,0,0,0,0.92,1.28,1398.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48,35.62,5496.81,0,0,0,0,0,0,8.32,0.84,0
Uttar Pradesh,Gorakhpur,319.73,805.12,2518.15,337.69,1330.08,3938.81,0,0,0,0,0,0,0,0,0,0.01,0.02,1888.89,3.06,2.45,802.68,0,0,0,1.87,6.1,3262.03,0.35,0.38,1064.97,3.33,1.8,540.65,14.49,14.15,976.88,4.24,4.82,1136.26,0.39,0.11,293.51,7.14,8.36,1170.94,0,0,0,0,0,0,0.25,0.15,600,0,0,0,0,0,0,0,0,0,19.98,131.38,6574.07,0,0,0,0,0,0,7.07,0.54,0
Uttar Pradesh,Deoria,255.14,640.36,2509.8,271.13,894.56,3299.32,0.04,0.07,1651.16,0,0,0,0.04,0.07,1651.16,0.25,0.49,1932.27,15.86,43.51,2744.37,0,0,0,0.39,1.28,3262.09,0.11,0.12,1063.64,5.35,2.89,540.56,6.81,6.88,1010.73,2.37,2.35,992.4,0.19,0.06,292.55,11.83,10.76,909.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.11,573.87,7253.87,0,0,0,0,0,0,3.13,0.27,0
Uttar Pradesh,Basti,370.85,955.54,2576.61,368.44,1391.74,3777.38,0,0,0,0,0,0,0,0,0,0,0,2000,4.89,4.72,965.62,0,0,0,0.5,1.41,2845.07,1.34,1.44,1071.43,8.32,5.91,709.99,19.53,22.27,1140.42,1.4,1.42,1012.88,0.27,0.08,294.12,8.33,9.15,1098.96,0,0,0,0,0,0,1.39,0.83,602.02,0,0,0,0,0,0,0,0,0,45.96,303.7,6607.2,0,0,0,0,0,0,6.47,0.9,0
