District,Growth,Sex_Ratio,Literacy,Population
Valsad,0.21,922,78.55,1705678
Bharuch,0.13,925,81.51,1551019
Amreli,0.09,964,74.25,1514190
Gandhinagar,0.04,923,84.16,1391753
Patan,0.14,935,72.3,1343734
Navsari,0.08,961,83.88,1329672
Tapi,0.12,1007,68.26,807022
Narmada,0.15,961,72.31,590297
Porbandar,0.09,950,75.78,585449
The Dangs,0.22,1006,75.16,228291
Faridabad,0.33,873,81.7,1809733
Hisar,0.13,872,72.89,1743931
Bhiwani,0.15,886,75.21,1634445
Gurgaon,0.74,854,84.7,1514432
Karnal,0.18,887,74.73,1505324
Sonipat,0.13,856,79.12,1450001
Jind,0.12,871,71.44,1334152
Sirsa,0.16,897,68.82,1295189
Yamunanagar,0.17,877,77.99,1214205
Panipat,0.25,864,75.94,1205437
Ambala,0.11,885,81.75,1128350
Mewat,0.38,907,54.08,1089263
Kaithal,0.14,881,69.15,1074304
Rohtak,0.13,867,80.22,1061204
Palwal,0.26,880,69.32,1042708
Kurukshetra,0.17,888,76.31,964655
Jhajjar,0.09,862,80.65,958405
Fatehabad,0.17,902,67.92,942011
Mahendragarh,0.13,895,77.72,922088
Rewari,0.18,898,80.99,900332
Panchkula,0.2,873,81.88,561293
Kangra,0.13,1012,85.67,1510075
Mandi,0.11,1007,81.53,999777
Shimla,0.13,915,83.64,814010
Solan,0.16,880,83.68,580320
Sirmaur,0.16,918,78.8,529855
Una,0.16,976,86.53,521173
Chamba,0.13,986,72.17,519080
Hamirpur,0.1,1095,88.15,454768
Kullu,0.15,942,79.4,437903
Bilaspur,0.12,981,84.59,381956
Kinnaur,0.07,819,80,84121
Lahul and Spiti,-0.05,903,76.81,#N/A
Jammu,0.13,880,83.45,1529958
Srinagar,0.2,900,69.41,1236829
Anantnag,0.39,927,62.69,1078692
Baramula,0.19,885,64.63,1008039
Kupwara,0.34,835,64.51,870354
Badgam,0.24,894,56.08,753745
Rajouri,0.33,860,68.17,642415
Kathua,0.21,890,73.09,616435
Pulwama,0.27,912,63.48,560440
Udhampur,0.21,870,68.49,554985
Punch,0.28,893,66.74,476835
Kulgam,0.08,951,59.23,424483
Doda,0.28,919,64.68,409936
Bandipora,0.29,889,56.28,392232
Samba,0.17,886,81.41,318898
Reasi,0.27,890,58.15,314667
Ganderbal,0.37,874,58.04,297446
Ramban,0.32,902,54.27,283713
Shupiyan,0.26,951,60.76,266215
Kishtwar,0.21,920,56.2,230696
Kargil,0.18,810,71.34,140802
Leh,0.14,690,77.2,133487
Ranchi,0.24,949,76.06,2914253
Dhanbad,0.12,909,74.52,2684487
Giridih,0.28,944,63.14,2445474
Purbi Singhbhum,0.16,949,75.49,2293919
Bokaro,0.16,922,72.01,2062330
Palamu,0.26,928,63.63,1939869
Hazaribagh,0.21,947,69.75,1734495
Pashchimi Singhbhum,0.22,1005,58.63,1502338
Deoghar,0.28,925,64.85,1492073
Garhwa,0.28,935,60.33,1322784
Dumka,0.19,977,61.02,1321442
Godda,0.25,938,56.4,1313551
Sahibganj,0.24,952,52.04,1150567
Saraikela Kharsawan,0.25,956,67.7,#N/A
Chatra,0.32,953,60.18,1042886
Gumla,0.23,993,65.73,1025213
Ramgarh,0.13,921,73.17,949443
Pakur,0.28,989,48.82,900422
Jamtara,0.21,954,64.59,791042
Latehar,0.3,967,59.51,726978
Kodarma,0.43,950,66.84,716259
Simdega,0.17,997,67.99,599578
Khunti,0.22,997,63.86,531885
Lohardaga,0.27,985,67.61,461790
Bangalore,0.47,916,87.67,9621551
Belgaum,0.13,973,73.48,4779661
Mysore,0.14,985,72.79,3001127
Tumkur,0.04,984,75.14,2678980
Gulbarga,0.18,971,64.85,2566326
Bellary,0.21,983,67.43,2452595
Bijapur,0.21,960,67.15,255230
Dakshina Kannada,0.1,1020,88.57,2089649
Davanagere,0.09,972,75.74,1945497
Raichur,0.16,1000,59.56,1928812
Bagalkot,0.14,989,68.82,1889752
Dharwad,0.15,971,80,1847023
Mandya,0.02,995,70.4,1805769
Hassan,0.03,1010,76.07,1776421
Shimoga,0.07,998,80.45,1752753
Bidar,0.13,956,70.51,1703300
Chitradurga,0.09,974,73.71,1659456
Haveri,0.11,950,77.4,1597668
Kolar,0.11,979,74.39,1536401
Uttara Kannada,0.06,979,84.06,1437169
Koppal,0.16,986,68.09,1389920
Chikkaballapura,0.09,972,69.76,1255104
Udupi,0.06,1094,86.24,1177361
Yadgir,0.23,989,51.83,1174271
Chikmagalur,0,1008,79.25,1137961
Ramanagara,0.05,976,69.22,1082636
Gadag,0.1,982,75.12,1064570
Chamarajanagar,0.06,993,61.43,1020791
Bangalore Rural,0.16,946,77.93,990923
Kodagu,0.01,1019,82.61,554519
Malappuram,0.13,1098,93.57,4112920
Thiruvananthapuram,0.02,1087,93.02,3301427
Ernakulam,0.06,1027,95.89,3282388
Thrissur,0.05,1108,95.08,3121200
Kozhikode,0.07,1098,95.08,3086293
Palakkad,0.07,1067,89.31,2809934
Kollam,0.02,1113,94.09,2635375
Kannur,0.05,1136,95.1,2523003
Alappuzha,0.01,1100,95.72,2127789
Kottayam,0.01,1039,97.21,1974551
Kasaragod,0.09,1080,90.09,1307375
Pathanamthitta,-0.03,1132,96.55,1197412
Idukki,-0.02,1006,91.99,1108974
Wayanad,0.05,1035,89.03,817420
Lakshadweep,0.06,946,91.85,64473
Indore,0.33,928,80.87,3276697
Jabalpur,0.15,929,81.07,2463289
Sagar,0.18,893,76.46,2378458
Bhopal,0.29,918,80.37,2371061
Rewa,0.2,931,71.62,2365106
Satna,0.19,926,72.26,2228935
Dhar,0.26,964,59,2185793
Chhindwara,0.13,964,71.16,2090922
Gwalior,0.25,864,76.65,2032036
Ujjain,0.16,955,72.34,1986864
Morena,0.23,840,71.03,1965970
West Nimar,0.23,965,62.7,#N/A
Chhattarpur,0.2,883,63.74,#N/A
Shivpuri,0.23,877,62.55,1726050
Bhind,0.19,837,75.26,1703005
Balaghat,0.14,1021,77.09,1701698
Betul,0.13,971,68.9,1575362
