STATE/UT,DISTRICT,Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs
Rajasthan,DAUSA,0,1,0,0,0,0,0,1,0,128
Karnataka,DAVANAGERE,1,2,0,0,0,0,10,36,0,20
Odisha,DCP BBSR,0,4,0,0,0,0,16,79,0,0
Odisha,DCP CTC,0,1,0,0,0,0,4,31,0,0
Uttarakhand,DEHRADUN,0,0,0,0,0,0,1,1,0,0
Odisha,DEOGARH,0,2,0,0,0,0,0,13,0,0
Jharkhand,DEOGHAR,0,0,0,0,0,0,82,37,0,16
Uttar Pradesh,DEORIA,1,5,12,0,0,0,2,0,0,83
Madhya Pradesh,DEWAS,1,5,0,0,0,0,2,0,0,38
Tripura,DHALAI,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,DHAMTARI,0,0,0,0,0,0,0,0,0,2
Jharkhand,DHANBAD,0,0,0,0,0,1,10,65,0,54
Jharkhand,DHANBAD RLY.,0,0,0,0,0,0,0,1,0,1
Madhya Pradesh,DHAR,0,3,1,0,0,0,8,0,0,10
Tamil Nadu,DHARMAPURI,1,3,0,0,0,0,3,36,0,36
Karnataka,DHARWAD COMMR.,0,3,0,0,1,0,0,23,0,23
Karnataka,DHARWAD RURAL,0,0,0,0,0,0,0,11,0,11
Assam,DHEMAJI,0,0,0,0,0,0,0,0,0,0
Odisha,DHENKANAL,2,2,0,0,0,1,13,128,0,0
Rajasthan,DHOLPUR,4,5,6,0,0,0,56,0,0,145
Assam,DHUBRI,0,0,0,0,0,0,0,0,0,0
Maharashtra,DHULE,3,2,1,2,3,0,1,3,0,17
Arunachal Pradesh,DIBANG VALLEY,0,0,0,0,0,0,0,0,0,0
Assam,DIBRUGARH,0,0,0,0,0,0,0,0,0,0
Nagaland,DIMAPUR,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,DINDIGUL,0,0,0,0,0,0,0,30,0,0
Madhya Pradesh,DINDORI,0,1,0,0,0,0,0,0,0,7
Rajasthan,DISCOM,0,0,0,0,0,0,0,0,0,0
Daman & Diu,DIU,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,DODA,0,0,0,0,0,0,0,0,0,0
Jharkhand,DUMKA,0,0,0,0,0,0,1,8,0,7
Rajasthan,DUNGARPUR,0,0,0,0,0,0,0,1,0,4
Chhattisgarh,DURG,0,3,0,0,0,0,1,0,0,4
Sikkim,EAST,0,0,0,0,1,0,1,0,0,0
Delhi UT,EAST,0,0,0,0,0,0,0,2,0,1
Andhra Pradesh,EAST GODAVARI,3,9,0,0,0,1,26,28,2,112
Delhi UT,EOW,0,0,0,0,0,0,0,0,0,2
Kerala,ERNAKULAM COMMR.,0,4,0,0,0,0,8,3,0,22
Kerala,ERNAKULAM RURAL,1,9,0,0,0,0,18,7,0,24
Tamil Nadu,ERODE,2,1,1,0,0,0,1,27,0,0
Uttar Pradesh,ETAH,2,3,0,0,0,0,10,0,0,54
Uttar Pradesh,ETAWAH,4,4,5,0,0,0,0,0,0,32
Uttar Pradesh,FAIZABAD,3,2,3,0,0,0,0,54,0,0
Haryana,FARIDABAD,0,5,3,0,0,0,0,1,0,22
Punjab,FARIDKOT,0,1,0,0,0,0,0,0,0,1
Haryana,FATEHABAD,0,5,1,0,0,0,0,0,0,10
Uttar Pradesh,FATEHGARH,2,1,2,0,0,0,0,0,0,68
Punjab,FATEHGARH SAHIB,0,2,0,0,0,0,2,0,0,0
Uttar Pradesh,FATEHPUR,2,10,7,0,0,2,10,0,0,82
Punjab,FAZILKA,0,0,0,0,0,0,0,0,0,0
Punjab,FEROZPUR,0,0,1,0,0,0,4,1,0,2
Uttar Pradesh,FIROZABAD,4,3,14,0,0,1,6,0,0,80
Punjab,G.R.P,0,0,0,0,0,0,0,0,0,0
Assam,G.R.P.,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,G.R.P.,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,G.R.P.,0,0,0,0,0,0,0,0,0,2
Rajasthan,G.R.P.AJMER,0,0,0,0,0,0,0,0,0,0
Rajasthan,G.R.P.JODHPUR,0,0,0,0,0,0,0,1,0,1
Karnataka,GADAG,0,0,0,0,0,0,0,17,0,17
Maharashtra,GADCHIROLI,0,0,0,0,1,0,1,1,0,3
Odisha,GAJAPATI,0,1,0,0,0,0,4,4,0,0
Jammu & Kashmir,GANDERBAL,0,0,0,0,0,0,0,0,0,0
Gujarat,GANDHINAGAR,0,4,4,0,1,0,22,0,0,8
Rajasthan,GANGANAGAR,3,33,6,0,0,1,30,11,0,357
Odisha,GANJAM,3,6,2,0,0,2,43,70,0,0
Jharkhand,GARHWA,2,1,0,0,0,0,61,52,0,15
Chhattisgarh,GARIYABAND,1,2,0,0,0,0,0,0,0,3
Meghalaya,GARO HILLS EAST,0,0,0,0,0,0,0,0,0,0
Meghalaya,GARO HILLS NORTH,0,0,0,0,0,0,0,0,0,0
Meghalaya,GARO HILLS SOUTH,0,0,0,0,0,0,0,0,0,0
Meghalaya,GARO HILLS SOUTH W.,0,0,0,0,0,0,0,0,0,0
Meghalaya,GARO HILLS WEST,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,GAUTAMBUDH NAGAR,4,4,3,0,0,0,2,0,0,41
Bihar,GAYA,0,0,0,0,0,0,0,372,0,0
Uttar Pradesh,GHAZIABAD,5,9,5,0,1,0,4,0,0,60
Uttar Pradesh,GHAZIPUR,2,5,4,1,0,1,7,57,0,11
Jharkhand,GIRIDIH,3,1,0,0,0,0,0,17,0,0
Assam,GOALPARA,0,0,0,0,0,0,0,0,0,0
Jharkhand,GODDA,0,0,0,0,0,0,0,18,0,0
Assam,GOLAGHAT,0,0,0,0,0,0,0,0,0,0
Tripura,GOMATI,0,1,0,0,0,0,0,0,0,3
Uttar Pradesh,GONDA,1,4,1,0,0,0,6,115,0,0
Maharashtra,GONDIA,1,5,1,0,0,0,2,10,1,13
Bihar,GOPALGANJ,0,0,0,0,0,0,0,143,0,26
Uttar Pradesh,GORAKHPUR,6,16,11,0,0,0,1,178,0,0
Haryana,GRP,0,0,2,0,0,0,0,0,0,1
Tripura,GRP,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,GRP RAIPUR,0,0,0,0,0,0,0,0,0,0
Delhi UT,GRP(RLY),0,0,0,0,0,0,0,0,0,0
Karnataka,GULBARGA,0,0,5,0,0,0,25,0,0,0
Jharkhand,GUMLA,0,1,3,0,0,0,0,2,0,0
Madhya Pradesh,GUNA,2,9,3,0,0,1,16,0,0,27
Andhra Pradesh,GUNTAKAL RLY.,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,GUNTUR,4,4,3,0,0,0,44,14,0,75
Andhra Pradesh,GUNTUR URBAN,2,3,0,0,0,0,9,10,0,30
Punjab,GURDASPUR,0,0,0,0,0,0,1,0,0,0
Haryana,GURGAON,1,7,1,0,0,0,0,1,0,17
Assam,GUWAHATI CITY,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,GWALIOR,5,17,3,0,0,1,91,0,0,73
Assam,HAILAKANDI,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,HAMIRPUR,0,0,0,0,0,0,0,13,0,13
Uttar Pradesh,HAMIRPUR,2,4,0,0,0,2,5,43,0,43
Assam,HAMREN,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,HANDWARA,0,0,0,0,0,0,0,0,0,0
Rajasthan,HANUMANGARH,5,26,6,0,0,0,16,9,0,254
Uttar Pradesh,HAPUR,3,2,4,0,0,0,0,0,0,18
Madhya Pradesh,HARDA,1,3,0,0,0,0,2,0,0,5
Uttar Pradesh,HARDOI,2,3,6,0,0,1,25,52,0,104
Uttarakhand,HARIDWAR,0,1,0,0,0,0,0,0,0,0
Karnataka,HASSAN,0,0,0,0,0,0,0,69,0,69
Uttar Pradesh,HATHRAS,3,6,2,0,0,0,5,0,0,43
Karnataka,HAVERI,0,0,0,0,0,0,18,18,0,0
Jharkhand,HAZARIBAGH,0,2,0,0,0,0,12,35,0,22
Gujarat,HIMATNAGAR,0,2,1,0,0,1,2,0,0,20
Maharashtra,HINGOLI,0,3,1,0,0,1,6,0,0,21
Haryana,HISSAR,1,6,2,0,0,0,0,4,0,13
West Bengal,HOOGHLY,0,0,0,0,0,0,0,1,0,1
Madhya Pradesh,HOSHANGABAD,4,9,3,0,0,0,32,0,0,28
Punjab,HOSHIARPUR,3,0,0,0,0,0,2,0,0,2
West Bengal,HOWRAH,0,0,0,0,0,0,0,2,0,0
West Bengal,HOWRAH CITY,0,0,0,0,0,0,0,3,0,3
West Bengal,HOWRAH G.R.P.,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,HYDERABAD CITY,1,3,0,0,0,0,0,110,0,2
Haryana,I&P HARYANA,0,0,0,0,0,0,0,0,0,0
Kerala,IDUKKI,0,3,0,0,0,0,15,4,0,8
Delhi UT,IGI AIRPORT,0,0,0,0,0,0,0,0,0,0
Manipur,IMPHAL EAST,0,0,0,0,0,0,0,0,0,0
Manipur,IMPHAL WEST,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,INDORE,4,20,1,0,0,0,0,0,0,57
Madhya Pradesh,INDORE RLY.,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,JABALPUR,5,19,4,0,0,0,22,1,0,48
Madhya Pradesh,JABALPUR RLY.,2,0,0,0,0,0,0,0,0,0
Odisha,JAGATSINGHPUR,3,3,0,0,0,3,0,114,0,0
Chhattisgarh,JAGDALPUR,0,0,0,0,0,0,0,0,0,0
Meghalaya,JAINTIA HILLS EAST,0,0,0,0,0,0,0,0,0,0
Meghalaya,JAINTIA HILLS WEST,0,0,0,0,0,0,0,0,0,0
Rajasthan,JAIPUR EAST,0,4,0,0,0,0,0,0,0,65
Rajasthan,JAIPUR NORTH,0,3,0,0,0,0,1,1,0,31
Rajasthan,JAIPUR RURAL,3,19,0,0,0,3,0,6,0,185
Rajasthan,JAIPUR SOUTH,0,1,0,0,0,0,0,2,0,58
Rajasthan,JAIPUR WEST,1,5,0,0,0,0,0,1,0,114
Rajasthan,JAISALMER,2,0,0,0,0,0,0,0,0,65
Odisha,JAJPUR,1,5,0,0,0,1,74,81,0,0
Punjab,JALANDHAR RURAL,1,1,0,0,0,0,2,1,0,3
Uttar Pradesh,JALAUN,4,1,5,0,0,0,0,11,0,42
Maharashtra,JALGAON,0,4,2,1,1,0,7,13,0,30
Maharashtra,JALNA,5,3,3,1,0,0,22,0,0,43
Rajasthan,JALORE,2,5,0,0,0,0,0,0,0,116
West Bengal,JALPAIGURI,0,0,0,0,0,0,0,0,0,0
Bihar,JAMALPUR RLY.,0,0,0,0,0,0,0,1,0,0
Jammu & Kashmir,JAMMU,0,0,0,0,0,0,0,0,0,0
Gujarat,JAMNAGAR,1,5,1,1,0,0,12,4,0,17
Jharkhand,JAMSHEDPUR,0,1,0,0,0,0,8,28,0,19
Jharkhand,JAMSHEDPUR RLY.,0,0,0,0,0,0,0,0,0,0
Jharkhand,JAMTARA,0,0,0,0,0,0,6,29,0,18
Bihar,JAMUI,0,0,0,0,0,0,0,130,0,0
Chhattisgarh,JANJGIR,1,7,1,0,0,0,27,0,0,25
Chhattisgarh,JASHPUR,0,0,0,0,0,0,1,0,0,2
Uttar Pradesh,JAUNPUR,2,5,4,0,0,0,3,71,0,18
Bihar,JEHANABAD,2,0,2,0,0,3,4,98,0,0
Madhya Pradesh,JHABUA,0,0,0,0,0,0,0,0,0,0
Haryana,JHAJJAR,0,1,3,0,0,0,0,0,0,12
Rajasthan,JHALAWAR,1,11,4,0,1,1,1,3,0,124
Uttar Pradesh,JHANSI,10,4,10,0,0,0,1,60,0,4
West Bengal,JHARGRAM,0,0,0,0,0,0,0,0,0,0
Odisha,JHARSUGUDA,0,2,0,0,0,0,15,16,0,0
Rajasthan,JHUNJHUNU,2,6,0,0,0,1,2,1,0,159
Haryana,JIND,1,4,1,0,1,1,2,1,0,10
Rajasthan,JODHPUR EAST,3,1,3,0,0,0,6,3,0,43
Rajasthan,JODHPUR RURAL,3,4,1,0,0,0,124,3,0,10
Rajasthan,JODHPUR WEST,0,4,0,0,0,0,12,2,0,29
Assam,JORHAT,0,0,0,0,0,0,0,2,0,2
Gujarat,JUNAGADH,3,3,0,0,2,1,15,8,0,74
Karnataka,K.G.F.,0,2,0,0,0,0,6,8,0,8
Arunachal Pradesh,K/KUMEY,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,KABIRDHAM,0,1,1,0,0,0,2,0,0,4
Haryana,KAITHAL,0,5,2,1,0,0,1,0,0,6
Odisha,KALAHANDI,1,3,0,0,0,0,0,47,0,0
Arunachal Pradesh,KAMENG EAST,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,KAMENG WEST,0,0,0,0,0,0,0,0,0,0
Assam,KAMRUP,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,KANCHIPURAM,0,0,0,0,0,0,1,26,0,0
Odisha,KANDHAMAL,0,5,2,0,0,0,15,18,0,0
Himachal Pradesh,KANGRA,0,0,0,0,0,0,0,15,0,0
Chhattisgarh,KANKER,0,3,0,0,0,0,0,0,0,2
Uttar Pradesh,KANNAUJ,2,2,6,0,0,0,2,0,0,50
Kerala,KANNUR,0,3,0,0,0,0,18,3,0,5
Uttar Pradesh,KANPUR DEHAT,6,5,3,0,0,1,6,0,0,48
Uttar Pradesh,KANPUR NAGAR,11,6,12,0,0,0,10,0,0,134
Tamil Nadu,KANYAKUMARI,0,0,0,0,0,0,0,4,0,0
Punjab,KAPURTHALA,1,0,0,0,0,0,0,1,0,2
Puducherry,KARAIKAL,0,1,0,0,0,0,0,0,3,0
Rajasthan,KARAULI,2,7,0,0,0,2,0,1,0,137
Assam,KARBI ANGLONG,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,KARGIL,0,0,0,0,0,0,0,0,0,0
Assam,KARIMGANJ,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,KARIMNAGAR,4,9,0,0,0,1,23,70,1,113
Haryana,KARNAL,1,11,4,0,0,1,1,1,0,33
Tamil Nadu,KARUR,0,0,0,0,0,0,0,10,0,0
Kerala,KASARGOD,0,0,0,0,0,0,13,1,0,10
Uttar Pradesh,KASGANJ,0,3,0,0,0,0,2,0,0,23
Jammu & Kashmir,KATHUA,0,0,0,0,0,0,0,0,0,0
Bihar,KATIHAR,0,0,0,0,0,1,1,58,0,0
Bihar,KATIHAR RLY.,0,0,0,0,0,0,0,5,0,0
